customer_id,customer_name,city,total_orders,total_revenue,avg_order_value,top_category
55,Amjad Halasa,Amman,5,490.0,98.0,Clothing
57,Rafiq Ghawanmeh,Salt,5,499.5,99.9,Clothing
58,Iman Al-Masalmeh,Madaba,4,525.5,131.375,Books
59,Kamal Sarhan,Amman,4,372.0,93.0,Home & Garden
60,Tahani Toubasi,Zarqa,6,600.5,100.08333333333333,Books
61,Nasr Rabadi,Irbid,6,662.5,110.41666666666667,Home & Garden
62,Wafa Al-Harahsheh,Amman,5,524.0,104.8,Clothing
64,Kholoud Bani-Ata,Aqaba,3,202.0,67.33333333333333,Clothing
65,Nayef Zu'mot,Amman,5,501.0,100.2,Clothing
66,Ahlam Bataineh,Salt,3,314.0,104.66666666666667,Food & Beverage
67,Ragheb Al-Dabbas,Madaba,3,308.0,102.66666666666667,Books
68,Fidaa Obaidat,Amman,3,408.0,136.0,Books
70,Haneen Khreisat,Irbid,2,169.0,84.5,Clothing
71,Saleem Tahat,Zarqa,1,73.0,73.0,Books
72,Rawia Al-Fugaha,Amman,2,258.0,129.0,Books
73,Imad Dmaiseh,Aqaba,2,140.5,70.25,Clothing
74,Zeinab Shnikat,Amman,2,131.5,65.75,Books
76,Buthayna Quraan,Salt,1,107.0,107.0,Books
77,Hamzeh Al-Btoush,Irbid,2,192.0,96.0,Clothing
78,Mayada Tal,Amman,2,226.0,113.0,Home & Garden
79,Shaker Hijazeen,Madaba,2,159.0,79.5,Home & Garden
80,Lamis Rababah,Zarqa,2,316.0,158.0,Home & Garden
81,Bashar Al-Adwan,Amman,3,295.5,98.5,Clothing
83,Ismail Hmoud,Aqaba,2,198.0,99.0,Electronics
84,Sabah Nsairat,Amman,1,64.0,64.0,Clothing
85,Qais Al-Fayez,Irbid,2,130.0,65.0,Home & Garden
86,Mais Qawasmeh,Salt,2,122.5,61.25,Sports
87,Baraa Otoum,Amman,1,51.0,51.0,Electronics
89,Haitham Krishan,Zarqa,2,204.0,102.0,Clothing
90,Nawal Fayyad,Amman,2,260.0,130.0,Electronics
91,Mutaz Al-Shawabkeh,Madaba,1,165.0,165.0,Electronics
92,Rim Bani-Khaled,Irbid,2,264.0,132.0,Books
93,Saif Majeed,Amman,2,140.5,70.25,Clothing
94,Arwa Hajjaj,Aqaba,2,160.0,80.0,Home & Garden
95,Nasser Al-Dhoon,Amman,2,132.5,66.25,Electronics
97,Samer Jaber,Salt,2,191.0,95.5,Clothing
98,Laith Al-Khalidi,Amman,2,195.0,97.5,Home & Garden
99,Farah Hamaydeh,Irbid,2,231.0,115.5,Clothing
100,Yazan Bani-Mustafa,Zarqa,1,81.0,81.0,Home & Garden
